year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2016,"Computer programmers","151131","Female","2",46,2110,364.171
2016,"Computer programmers","151131","Male","1",47,8264,860.004
2016,"Computer programmers","151131","Female","2",47,2773,418.045
2016,"Computer programmers","151131","Male","1",48,8217,837.155
2016,"Computer programmers","151131","Female","2",48,3099,436.362
2016,"Computer programmers","151131","Male","1",49,7930,697.586
2016,"Computer programmers","151131","Female","2",49,2832,436.985
2016,"Computer programmers","151131","Male","1",50,8757,806.999
2016,"Computer programmers","151131","Female","2",50,3004,394.662
2016,"Computer programmers","151131","Male","1",51,8454,869.391
2016,"Computer programmers","151131","Female","2",51,3807,521.268
2016,"Computer programmers","151131","Male","1",52,7154,697.245
2016,"Computer programmers","151131","Female","2",52,3112,443.241
2016,"Computer programmers","151131","Male","1",53,7562,784.554
2016,"Computer programmers","151131","Female","2",53,3400,449.36
2016,"Computer programmers","151131","Male","1",54,7549,627.482
2016,"Computer programmers","151131","Female","2",54,2939,457.125
2016,"Computer programmers","151131","Male","1",55,6485,591.136
2016,"Computer programmers","151131","Female","2",55,2598,449.597
2016,"Computer programmers","151131","Male","1",56,6799,542.312
2016,"Computer programmers","151131","Female","2",56,2112,378.811
2016,"Computer programmers","151131","Male","1",57,6282,661.886
2016,"Computer programmers","151131","Female","2",57,2572,413.942
2016,"Computer programmers","151131","Male","1",58,5868,652.748
2016,"Computer programmers","151131","Female","2",58,1749,318.472
2016,"Computer programmers","151131","Male","1",59,5412,602.417
2016,"Computer programmers","151131","Female","2",59,1520,316.193
2016,"Computer programmers","151131","Male","1",60,4799,588.979
2016,"Computer programmers","151131","Female","2",60,1766,300.897
2016,"Computer programmers","151131","Male","1",61,4278,611.07
2016,"Computer programmers","151131","Female","2",61,1677,399.588
2016,"Computer programmers","151131","Male","1",62,4237,487.939
2016,"Computer programmers","151131","Female","2",62,1467,337.416
2016,"Computer programmers","151131","Male","1",63,3726,541.545
2016,"Computer programmers","151131","Female","2",63,774,176.789
2016,"Computer programmers","151131","Male","1",64,2767,434.353
2016,"Computer programmers","151131","Female","2",64,828,250.065
2016,"Computer programmers","151131","Male","1",65,2560,413.135
2016,"Computer programmers","151131","Female","2",65,840,271.112
2016,"Computer programmers","151131","Male","1",66,1624,314.942
2016,"Computer programmers","151131","Female","2",66,618,191.086
2016,"Computer programmers","151131","Male","1",67,1564,373.108
2016,"Computer programmers","151131","Female","2",67,299,117.481
2016,"Computer programmers","151131","Male","1",68,961,238.31
2016,"Computer programmers","151131","Female","2",68,92,56.5411
