year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA","79500US0607302","Computer programmers","151131",91520.9,15581.0
2014,"San Diego County (Northwest)--Vista City PUMA","79500US0607303","Computer programmers","151131",54677.3,28012.4
2014,"San Diego County (Northwest)--Carlsbad City PUMA","79500US0607304","Computer programmers","151131",116137.0,38989.9
2014,"San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA","79500US0607305","Computer programmers","151131",83643.4,23562.2
2014,"Escondido City (East) PUMA, CA","79500US0607306","Computer programmers","151131",101843.0,48266.4
2014,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA","79500US0607307","Computer programmers","151131",50300.9,37253.6
2014,"San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA","79500US0607308","Computer programmers","151131",90002.2,13026.4
2014,"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA","79500US0607309","Computer programmers","151131",88139.6,13683.8
2014,"San Diego City (Southwest/Central Coastal) PUMA, CA","79500US0607310","Computer programmers","151131",77960.2,17055.3
2014,"San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA","79500US0607311","Computer programmers","151131",101523.0,22968.9
2014,"San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA","79500US0607312","Computer programmers","151131",72482.2,18137.8
2014,"El Cajon & Santee Cities PUMA, CA","79500US0607313","Computer programmers","151131",114268.0,41607.2
2014,"San Diego (East Central/Navajo) & La Mesa Cities PUMA, CA","79500US0607314","Computer programmers","151131",82238.4,25762.5
2014,"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA","79500US0607315","Computer programmers","151131",69714.8,13094.2
2014,"San Diego City (Central/Mid-City) PUMA, CA","79500US0607317","Computer programmers","151131",62866.9,21894.2
2014,"Lemon Grove City, La Presa & Spring Valley PUMA, CA","79500US0607319","Computer programmers","151131",66001.5,32460.6
2014,"Sweetwater Region--Chula Vista City (East) PUMA, CA","79500US0607320","Computer programmers","151131",98682.3,14379.0
2014,"Chula Vista (West) & National City Cities PUMA, CA","79500US0607321","Computer programmers","151131",66005.9,12828.4
2014,"Richmond District PUMA, CA","79500US0607501","Computer programmers","151131",94233.1,9894.61
2014,"San Francisco County (North & East)--North Beach & Chinatown PUMA","79500US0607502","Computer programmers","151131",72930.9,25693.4
2014,"San Francisco County (Central)--South of Market & Potrero PUMA","79500US0607503","Computer programmers","151131",110062.0,23718.6
2014,"San Francisco County (Central)--Inner Mission & Castro PUMA","79500US0607504","Computer programmers","151131",125965.0,26540.4
2014,"San Francisco County (Central)--Sunset District (North) PUMA","79500US0607505","Computer programmers","151131",103427.0,23386.8
2014,"San Francisco County (South Central)--Sunset District (South) PUMA","79500US0607506","Computer programmers","151131",95963.9,23633.2
2014,"San Francisco County (South Central)--Bayview & Hunters Point PUMA","79500US0607507","Computer programmers","151131",70076.7,18807.9
2014,"Stockton City (South) PUMA, CA","79500US0607702","Computer programmers","151131",63227.2,8608.67
2014,"Tracy, Manteca & Lathrop Cities PUMA, CA","79500US0607703","Computer programmers","151131",101410.0,14607.1
2014,"Coastal Region PUMA, CA","79500US0607901","Computer programmers","151131",66023.2,25646.3
2014,"Daly City, Pacifica Cities & Colma Town PUMA, CA","79500US0608101","Computer programmers","151131",111764.0,16410.5
2014,"South San Francisco, San Bruno & Brisbane Cities PUMA, CA","79500US0608102","Computer programmers","151131",163679.0,69636.5
2014,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA","79500US0608103","Computer programmers","151131",98034.6,18337.0
2014,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA","79500US0608104","Computer programmers","151131",85105.7,17874.6
2014,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA","79500US0608105","Computer programmers","151131",118500.0,32064.2
2014,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA","79500US0608106","Computer programmers","151131",87697.6,30544.3
2014,"Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","79500US0608301","Computer programmers","151131",69833.9,21337.6
2014,"South Coast Region PUMA, CA","79500US0608303","Computer programmers","151131",98391.7,16797.7
2014,"Mountain View, Palo Alto & Los Altos Cities PUMA, CA","79500US0608501","Computer programmers","151131",127706.0,17988.8
2014,"Sunnyvale & San Jose (North) Cities PUMA, CA","79500US0608502","Computer programmers","151131",123112.0,17239.3
2014,"San Jose (Northwest) & Santa Clara Cities PUMA, CA","79500US0608503","Computer programmers","151131",113964.0,21135.5
2014,"Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA","79500US0608504","Computer programmers","151131",106262.0,22003.8
2014,"Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA","79500US0608505","Computer programmers","151131",127092.0,12937.5
2014,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA","79500US0608506","Computer programmers","151131",122962.0,44061.8
2014,"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA","79500US0608507","Computer programmers","151131",122284.0,27467.0
2014,"San Jose (West Central) & Campbell Cities PUMA, CA","79500US0608508","Computer programmers","151131",110207.0,20470.6
2014,"Santa Clara County (Central)--San Jose City (Northwest) PUMA","79500US0608509","Computer programmers","151131",76283.4,19852.5
2014,"San Jose City (Central) PUMA, CA","79500US0608510","Computer programmers","151131",124855.0,19078.5
2014,"Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA","79500US0608511","Computer programmers","151131",132033.0,44573.5
2014,"Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA","79500US0608512","Computer programmers","151131",177151.0,47877.2
2014,"Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA","79500US0608513","Computer programmers","151131",130428.0,57678.8
